Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD3,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD3,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD3,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD3,standard,artificialNoAnomaly/art_flatline.csv,1.0,-0.11,0,3427,1,0,3428
arimaFD3,standard,artificialNoAnomaly/art_noisy.csv,1.0,0.0,0,3428,0,0,3428
arimaFD3,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD3,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD3,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,0.8773127770158184,1,3025,0,402,3428
arimaFD3,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.1099322043860715,0,3024,1,403,3428
arimaFD3,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,-1.11,0,3024,1,403,3428
arimaFD3,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD3,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1381
arimaFD3,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,-2.0,0,1219,0,162,1381
arimaFD3,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,-3.0,0,1155,0,153,1308
arimaFD3,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,-1.0,0,1155,0,153,1308
arimaFD3,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.219513101303698,0,1230,2,165,1397
arimaFD3,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.0,0,1233,0,164,1397
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,-1.77,0,3078,7,343,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,3428
arimaFD3,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD3,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4021
arimaFD3,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD3,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-1.11,0,3024,1,403,3428
arimaFD3,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-2.0,0,3547,0,474,4021
arimaFD3,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.0,0,3463,0,465,3928
arimaFD3,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1057
arimaFD3,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD3,standard,realKnownCause/ambient_temperature_system_failure.csv,1.0,-2.2199999999999998,0,5789,2,726,6517
arimaFD3,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-1.0,0,15801,0,1499,17300
arimaFD3,standard,realKnownCause/ec2_request_latency_system_failure.csv,1.0,-3.0,0,3082,0,346,3428
arimaFD3,standard,realKnownCause/machine_temperature_system_failure.csv,1.0,-4.0,0,19677,0,2268,21945
arimaFD3,standard,realKnownCause/nyc_taxi.csv,1.0,-5.0,0,8535,0,1035,9570
arimaFD3,standard,realKnownCause/rogue_agent_key_hold.csv,1.0,-2.0,0,1410,0,190,1600
arimaFD3,standard,realKnownCause/rogue_agent_key_updown.csv,1.0,-2.0,0,4035,0,530,4565
arimaFD3,standard,realTraffic/occupancy_6005.csv,1.0,-1.0,0,1784,0,239,2023
arimaFD3,standard,realTraffic/occupancy_t4013.csv,1.0,-2.0,0,1875,0,250,2125
arimaFD3,standard,realTraffic/speed_6005.csv,1.0,-1.0,0,1886,0,239,2125
arimaFD3,standard,realTraffic/speed_7578.csv,1.0,-2.0241485449106933,1,842,0,115,958
arimaFD3,standard,realTraffic/speed_t4013.csv,1.0,-2.0,0,1871,0,250,2121
arimaFD3,standard,realTraffic/TravelTime_387.csv,1.0,-3.0,0,1876,0,249,2125
arimaFD3,standard,realTraffic/TravelTime_451.csv,1.0,-1.0,0,1621,0,217,1838
arimaFD3,standard,realTweets/Twitter_volume_AAPL.csv,1.0,-4.0,0,13564,0,1588,15152
arimaFD3,standard,realTweets/Twitter_volume_AMZN.csv,1.0,-4.0,0,13501,0,1580,15081
arimaFD3,standard,realTweets/Twitter_volume_CRM.csv,1.0,-3.0,0,13559,0,1593,15152
arimaFD3,standard,realTweets/Twitter_volume_CVS.csv,1.0,-3.0,0,13577,0,1526,15103
arimaFD3,standard,realTweets/Twitter_volume_FB.csv,1.0,-0.13103690124541978,1,13501,0,1581,15083
arimaFD3,standard,realTweets/Twitter_volume_GOOG.csv,1.0,-3.0,0,13660,0,1432,15092
arimaFD3,standard,realTweets/Twitter_volume_IBM.csv,1.0,-2.0,0,13553,0,1590,15143
arimaFD3,standard,realTweets/Twitter_volume_KO.csv,1.0,-3.0,0,13514,0,1587,15101
arimaFD3,standard,realTweets/Twitter_volume_PFE.csv,1.0,-4.0,0,13520,0,1588,15108
arimaFD3,standard,realTweets/Twitter_volume_UPS.csv,1.0,-5.0,0,13531,0,1585,15116
Totals,,,,-111.92731797483006,3,299332,15,33492,332842
