Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD4,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.22,0,3426,2,0,3428
arimaFD4,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,-0.11,0,3427,1,0,3428
arimaFD4,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-0.66,0,3422,6,0,3428
arimaFD4,standard,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD4,standard,artificialNoAnomaly/art_noisy.csv,1.0,-0.66,0,3422,6,0,3428
arimaFD4,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-1.33,0,3022,3,403,3428
arimaFD4,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.33,0,3022,3,403,3428
arimaFD4,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.6600000000000001,0,3019,6,403,3428
arimaFD4,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.44,0,3021,4,403,3428
arimaFD4,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.4273724228407786,2,3020,5,401,3428
arimaFD4,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.22,0,3023,2,403,3428
arimaFD4,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.2199335611348718,0,1216,2,163,1381
arimaFD4,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,-0.42778523970524174,1,1217,2,161,1381
arimaFD4,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,-3.0,0,1155,0,153,1308
arimaFD4,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,-1.11,0,1154,1,153,1308
arimaFD4,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,-1.5722527553184635,1,1231,1,164,1397
arimaFD4,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.183806378162756,0,1231,2,164,1397
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.44,0,3022,4,402,3428
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.66,0,3020,6,402,3428
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.8844177148639596,2,3024,1,401,3428
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.5274840377676568,1,3081,4,342,3428
arimaFD4,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,-1.55,0,3020,5,403,3428
