Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-2.6400000000000006,0,3416,12,0,3428
arimaFD,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-1.1,0,3423,5,0,3428
arimaFD,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,1.0,-0.22,0,3427,1,0,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.5675428381460991,2,3025,0,401,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.6600000000000001,0,3022,3,403,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.88,0,3021,4,403,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.547593499644346,0,3022,3,403,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.5632116326809754,1,3025,0,402,3428
arimaFD,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.22,0,3024,1,403,3428
arimaFD,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1381
arimaFD,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,-2.209253840376193,0,1218,1,162,1381
arimaFD,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,0.7588615203786555,2,1155,0,151,1308
arimaFD,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,1.0,0.992891523461038,1,1155,0,152,1308
arimaFD,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.0,0,1232,0,165,1397
arimaFD,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.0,0,1233,0,164,1397
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.219999788909953,0,3025,1,402,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-1.1821978665052775,1,3025,1,401,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.33948991890714786,1,3022,3,402,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.9581316915625562,2,3085,0,341,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.6573127770158185,2,3024,1,401,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-3.2160400101260906,0,3022,1,405,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4021
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-2.0,0,3547,0,474,4021
arimaFD,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-2.2199999999999998,0,3025,1,402,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.0,0,3463,0,465,3928
arimaFD,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.2199999999999998,0,930,1,126,1057
arimaFD,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-0.13498804205708737,1,3026,0,401,3428
arimaFD,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-0.13498804205708737,1,3026,0,401,3428
arimaFD,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-2.88,0,5787,4,726,6517
arimaFD,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-0.8468388033227332,3,15796,5,1496,17300
arimaFD,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,2.0364892368359593,4,3082,0,342,3428
arimaFD,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-2.8006436575921034,3,19668,9,2265,21945
arimaFD,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,1.0,-1.3027133835645348,3,8535,0,1032,9570
arimaFD,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-0.6174263161654274,1,1408,2,189,1600
arimaFD,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-2.0,0,4035,0,530,4565
arimaFD,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,0.504376054073038,1,1782,2,238,2023
arimaFD,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,1.0,1.635209406593252,2,1874,1,248,2125
arimaFD,reward_low_FP_rate,realTraffic/speed_6005.csv,1.0,0.8458683338115774,1,1886,0,238,2125
arimaFD,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,-4.0,0,842,0,116,958
arimaFD,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,-2.0,0,1871,0,250,2121
arimaFD,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,-3.0,0,1876,0,249,2125
arimaFD,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.22,0,1620,1,217,1838
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,-4.0,0,13564,0,1588,15152
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-1.9048830683076918,2,13495,6,1578,15081
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,1.0,-1.9920281713200156,1,13555,4,1592,15152
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,1.0,-3.8691737759028073,0,13573,4,1526,15103
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,1.0,-2.219862366149802,0,13500,1,1582,15083
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,-2.3558915077291704,1,13657,3,1431,15092
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,1.0,-1.5404304312163841,1,13546,7,1589,15143
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-3.0,0,13514,0,1587,15101
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,-4.43991899993882,0,13518,2,1588,15108
arimaFD,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-6.125295992987522,1,13517,14,1584,15116
Totals,,,,-86.06078263040692,38,299243,104,33457,332842
