Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD2,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-2.75,0,3403,25,0,3428
arimaFD2,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,-2.64,0,3404,24,0,3428
arimaFD2,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-2.75,0,3403,25,0,3428
arimaFD2,standard,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD2,standard,artificialNoAnomaly/art_noisy.csv,1.0,0.0,0,3428,0,0,3428
arimaFD2,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-1.3189789483589869,2,3003,22,401,3428
arimaFD2,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.329751975711401,2,3003,22,401,3428
arimaFD2,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.2197681979606756,3,3004,21,400,3428
arimaFD2,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.329751975711401,1,3003,22,402,3428
arimaFD2,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,-2.5582896443393617,4,2992,33,399,3428
arimaFD2,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-0.41093469570560925,3,3012,13,400,3428
arimaFD2,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.4666207149411616,0,1213,5,163,1381
arimaFD2,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,0.6570349898191042,2,1214,5,160,1381
arimaFD2,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,2.841969902196081,3,1154,1,150,1308
arimaFD2,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,0.7039953422489842,1,1153,2,152,1308
arimaFD2,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,0.6305837047070599,2,1229,3,163,1397
arimaFD2,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,1.7621933748927665,3,1231,2,161,1397
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-1.1941661822520855,1,3015,11,401,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-0.3906708842798235,2,3017,9,400,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,1.6708057318469467,2,3026,0,400,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-0.5001819034684043,2,3010,15,401,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.5713449371656449,3,3081,4,340,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,-0.4488646252731967,2,3012,13,401,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,-1.3200000000000003,0,3416,12,0,3428
arimaFD2,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-0.4440895745603314,2,3010,13,403,3428
arimaFD2,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.1747510672992065,1,3528,20,472,4021
arimaFD2,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-0.9780148789834576,2,3007,16,403,3428
arimaFD2,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,0.8849886130230413,1,3025,0,402,3428
arimaFD2,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-0.8616494785404687,4,3521,26,470,4021
arimaFD2,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,1.7402037496357663,2,3025,1,400,3428
arimaFD2,standard,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-0.8189519508906018,2,3447,16,463,3928
arimaFD2,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-0.13404738068139876,1,930,1,125,1057
arimaFD2,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,1.9038993626018819,3,3025,1,399,3428
arimaFD2,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-0.08867076100671845,1,3026,0,401,3428
arimaFD2,standard,realKnownCause/ambient_temperature_system_failure.csv,1.0,-0.9983328111286665,2,5782,9,724,6517
arimaFD2,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-6.042442907503355,11,15737,64,1488,17300
arimaFD2,standard,realKnownCause/ec2_request_latency_system_failure.csv,1.0,2.560246805796221,9,3082,0,337,3428
arimaFD2,standard,realKnownCause/machine_temperature_system_failure.csv,1.0,0.49754099129894475,8,19652,25,2260,21945
arimaFD2,standard,realKnownCause/nyc_taxi.csv,1.0,-3.455077887284382,3,8499,36,1032,9570
arimaFD2,standard,realKnownCause/rogue_agent_key_hold.csv,1.0,-1.4753718363209234,1,1404,6,189,1600
arimaFD2,standard,realKnownCause/rogue_agent_key_updown.csv,1.0,-1.2346631064527105,1,4032,3,529,4565
arimaFD2,standard,realTraffic/occupancy_6005.csv,1.0,0.7021765655916239,1,1782,2,238,2023
arimaFD2,standard,realTraffic/occupancy_t4013.csv,1.0,1.7582337315538759,2,1874,1,248,2125
arimaFD2,standard,realTraffic/speed_6005.csv,1.0,0.6706813197435972,1,1884,2,238,2125
arimaFD2,standard,realTraffic/speed_7578.csv,1.0,-2.3432941941045526,1,839,3,115,958
arimaFD2,standard,realTraffic/speed_t4013.csv,1.0,-0.27852951468792164,1,1869,2,249,2121
arimaFD2,standard,realTraffic/TravelTime_387.csv,1.0,0.6345570161399108,2,1873,3,247,2125
arimaFD2,standard,realTraffic/TravelTime_451.csv,1.0,0.5744458329853772,1,1617,4,216,1838
arimaFD2,standard,realTweets/Twitter_volume_AAPL.csv,1.0,2.4013333172831466,7,13550,14,1581,15152
arimaFD2,standard,realTweets/Twitter_volume_AMZN.csv,1.0,2.803228210564666,4,13493,8,1576,15081
arimaFD2,standard,realTweets/Twitter_volume_CRM.csv,1.0,2.243530737712148,3,13555,4,1590,15152
arimaFD2,standard,realTweets/Twitter_volume_CVS.csv,1.0,0.23678986654117185,3,13571,6,1523,15103
arimaFD2,standard,realTweets/Twitter_volume_FB.csv,1.0,-0.6695213446531867,2,13479,22,1580,15083
arimaFD2,standard,realTweets/Twitter_volume_GOOG.csv,1.0,-0.7195703732028913,4,13645,15,1428,15092
arimaFD2,standard,realTweets/Twitter_volume_IBM.csv,1.0,-0.08018432400258169,4,13535,18,1586,15143
arimaFD2,standard,realTweets/Twitter_volume_KO.csv,1.0,2.2940979100999606,4,13510,4,1583,15101
arimaFD2,standard,realTweets/Twitter_volume_PFE.csv,1.0,1.3181615637498676,6,13499,21,1582,15108
arimaFD2,standard,realTweets/Twitter_volume_UPS.csv,1.0,0.8259335824503247,7,13499,32,1578,15116
Totals,,,,-10.537165979657352,145,298660,687,33350,332842
