Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD5,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD5,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD5,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-1.3200000000000003,0,3416,12,0,3428
arimaFD5,standard,artificialNoAnomaly/art_flatline.csv,1.0,-8.690000000000007,0,3349,79,0,3428
arimaFD5,standard,artificialNoAnomaly/art_noisy.csv,1.0,-1.1,0,3418,10,0,3428
arimaFD5,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-1.0392403253339004,0,3024,1,403,3428
arimaFD5,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-2.146508621695534,0,3014,11,403,3428
arimaFD5,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-0.15321311027266205,1,3015,10,402,3428
arimaFD5,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-2.1482266761885906,0,3014,11,403,3428
arimaFD5,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.8864746281318382,1,3025,0,402,3428
arimaFD5,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,0.8539309175500291,1,3024,1,402,3428
arimaFD5,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,0.3874326712790239,1,1212,6,162,1381
arimaFD5,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,0.4422486077522099,2,1210,9,160,1381
arimaFD5,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,2.8046368378239888,3,1154,1,150,1308
arimaFD5,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,0.915005925689125,1,1155,0,152,1308
arimaFD5,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,-1.030006960553854,1,1232,0,164,1397
arimaFD5,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,-2.12443181939678,1,1232,1,163,1397
arimaFD5,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-1.2057640804387262,1,3015,11,401,3428
arimaFD5,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,0.4628307715126605,2,3014,12,400,3428
arimaFD5,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,1.2667387237544308,2,3021,5,400,3428
arimaFD5,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-1.22,0,3023,2,403,3428
arimaFD5,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.94450613992309,2,3084,1,341,3428
